Learning Rate,Batch Size,Dropout,Optimizer,Test Accuracy
0.0001,64,0.2,Adam,0.49889999628067017
0.0001,64,0.2,Adam,0.49880000948905945
0.0001,64,0.2,Adam,0.4948999881744385
0.0001,64,0.2,Adam,0.49380001425743103
0.0001,64,0.2,RMSprop,0.4916999936103821
0.0001,64,0.2,Adam,0.4916999936103821
0.0001,64,0.2,Adam,0.49079999327659607
0.0001,64,0.2,Adam,0.4902999997138977
0.0001,64,0.2,Adam,0.48899999260902405
0.0001,64,0.2,Adam,0.48739999532699585
0.0001,64,0.2,Adam,0.4867999851703644
0.0001,64,0.2,Adam,0.48429998755455017
0.0001,64,0.2,Adam,0.4830000102519989
0.0001,64,0.2,RMSprop,0.48170000314712524
0.0001,64,0.2,Adam,0.47690001130104065
0.0001,64,0.2,Adam,0.47679999470710754
0.01,64,0.3,SGD,0.4587000012397766
0.0001,128,0.3,Adam,0.45419999957084656
0.001,128,0.2,SGD,0.4406000077724457
0.001,128,0.2,SGD,0.4366999864578247
0.001,64,0.3,Adam,0.4246000051498413
0.0001,64,0.5,SGD,0.10530000180006027
0.0001,64,0.5,SGD,0.10010000318288803
0.01,128,0.3,RMSprop,0.009999999776482582
0.01,64,0.2,Adam,0.009999999776482582
0.001,64,0.5,Adam,0.009999999776482582
0.01,128,0.5,RMSprop,0.009999999776482582
